20240701-11:51:27 - 下載中藥處方資料,共<68>筆...,198.983ms
20240701-11:54:23 - 下載中藥處方資料,共<68>筆...,6.455ms
20240701-11:54:23 - 從資料庫讀取處方資料,共<68>筆...,31.126ms
20240701-11:54:23 - 共新增<0>筆處方,3.816ms 
20240701-11:54:28 - 下載中藥處方資料,共<68>筆...,5.204ms
20240701-11:54:28 - 從資料庫讀取處方資料,共<68>筆...,40.219ms
20240701-11:54:28 - 共新增<0>筆處方,5.512ms 
20240701-11:54:33 - 下載中藥處方資料,共<68>筆...,6.967ms
20240701-11:54:33 - 從資料庫讀取處方資料,共<68>筆...,33.704ms
20240701-11:54:33 - 共新增<0>筆處方,3.700ms 
20240701-11:54:39 - 下載中藥處方資料,共<68>筆...,5.883ms
20240701-11:54:39 - 從資料庫讀取處方資料,共<68>筆...,36.236ms
20240701-11:54:39 - 共新增<0>筆處方,10.807ms 
20240701-11:54:44 - 下載中藥處方資料,共<68>筆...,7.383ms
20240701-11:54:44 - 從資料庫讀取處方資料,共<68>筆...,35.362ms
20240701-11:54:44 - 共新增<0>筆處方,6.575ms 
20240701-11:54:49 - 下載中藥處方資料,共<68>筆...,4.830ms
20240701-11:54:49 - 從資料庫讀取處方資料,共<68>筆...,34.758ms
20240701-11:54:49 - 共新增<0>筆處方,4.787ms 
20240701-11:54:54 - 下載中藥處方資料,共<68>筆...,6.288ms
20240701-11:54:54 - 從資料庫讀取處方資料,共<68>筆...,33.732ms
20240701-11:54:54 - 共新增<0>筆處方,4.606ms 
20240701-11:55:00 - 下載中藥處方資料,共<68>筆...,5.000ms
20240701-11:55:00 - 從資料庫讀取處方資料,共<68>筆...,34.290ms
20240701-11:55:00 - 共新增<0>筆處方,4.556ms 
20240701-11:55:05 - 下載中藥處方資料,共<68>筆...,6.316ms
20240701-11:55:05 - 從資料庫讀取處方資料,共<68>筆...,32.589ms
20240701-11:55:05 - 共新增<0>筆處方,5.729ms 
20240701-11:55:10 - 下載中藥處方資料,共<68>筆...,4.785ms
20240701-11:55:10 - 從資料庫讀取處方資料,共<68>筆...,33.842ms
20240701-11:55:10 - 共新增<0>筆處方,4.982ms 
20240701-11:55:16 - 下載中藥處方資料,共<68>筆...,6.666ms
20240701-11:55:16 - 從資料庫讀取處方資料,共<68>筆...,35.883ms
20240701-11:55:16 - 共新增<0>筆處方,6.533ms 
20240701-11:55:21 - 下載中藥處方資料,共<68>筆...,4.806ms
20240701-11:55:21 - 從資料庫讀取處方資料,共<68>筆...,39.333ms
20240701-11:55:21 - 共新增<0>筆處方,11.577ms 
20240701-11:55:26 - 下載中藥處方資料,共<68>筆...,32.283ms
20240701-11:55:26 - 從資料庫讀取處方資料,共<68>筆...,101.007ms
20240701-11:55:26 - 共新增<0>筆處方,15.778ms 
20240701-11:55:32 - 下載中藥處方資料,共<68>筆...,5.451ms
20240701-11:55:32 - 從資料庫讀取處方資料,共<68>筆...,31.289ms
20240701-11:55:32 - 共新增<0>筆處方,6.447ms 
20240701-11:55:37 - 下載中藥處方資料,共<68>筆...,11.334ms
20240701-11:55:37 - 從資料庫讀取處方資料,共<68>筆...,33.141ms
20240701-11:55:37 - 共新增<0>筆處方,5.658ms 
20240701-11:55:42 - 下載中藥處方資料,共<68>筆...,14.639ms
20240701-11:55:42 - 從資料庫讀取處方資料,共<68>筆...,35.199ms
20240701-11:55:42 - 共新增<0>筆處方,5.165ms 
20240701-11:55:47 - 下載中藥處方資料,共<68>筆...,24.755ms
20240701-11:55:48 - 從資料庫讀取處方資料,共<68>筆...,140.796ms
20240701-11:55:48 - 共新增<0>筆處方,13.562ms 
20240701-11:55:53 - 下載中藥處方資料,共<68>筆...,20.658ms
20240701-11:55:53 - 從資料庫讀取處方資料,共<68>筆...,74.419ms
20240701-11:55:53 - 共新增<0>筆處方,12.733ms 
20240701-11:55:58 - 下載中藥處方資料,共<68>筆...,56.150ms
20240701-11:55:59 - 從資料庫讀取處方資料,共<68>筆...,454.081ms
20240701-11:55:59 - 共新增<0>筆處方,51.035ms 
20240701-11:56:04 - 下載中藥處方資料,共<68>筆...,17.170ms
20240701-11:56:04 - 從資料庫讀取處方資料,共<68>筆...,325.239ms
20240701-11:56:04 - 共新增<0>筆處方,38.663ms 
20240701-11:56:10 - 下載中藥處方資料,共<68>筆...,62.277ms
20240701-11:56:10 - 從資料庫讀取處方資料,共<68>筆...,91.310ms
20240701-11:56:10 - 共新增<0>筆處方,208.890ms 
20240701-11:56:15 - 下載中藥處方資料,共<68>筆...,9.929ms
20240701-11:56:17 - 從資料庫讀取處方資料,共<68>筆...,1469.876ms
20240701-11:56:17 - 共新增<0>筆處方,14.773ms 
20240701-11:56:22 - 下載中藥處方資料,共<68>筆...,11.295ms
20240701-11:56:22 - 從資料庫讀取處方資料,共<68>筆...,39.906ms
20240701-11:56:22 - 共新增<0>筆處方,6.070ms 
20240701-11:56:27 - 下載中藥處方資料,共<68>筆...,15.272ms
20240701-11:56:28 - 從資料庫讀取處方資料,共<68>筆...,76.987ms
20240701-11:56:28 - 共新增<0>筆處方,5.424ms 
20240701-11:56:33 - 下載中藥處方資料,共<68>筆...,12.906ms
20240701-11:56:33 - 從資料庫讀取處方資料,共<68>筆...,38.006ms
20240701-11:56:33 - 共新增<0>筆處方,5.306ms 
20240701-11:56:38 - 下載中藥處方資料,共<68>筆...,12.538ms
20240701-11:56:38 - 從資料庫讀取處方資料,共<68>筆...,127.347ms
20240701-11:56:38 - 共新增<0>筆處方,5.966ms 
20240701-11:56:43 - 下載中藥處方資料,共<68>筆...,10.967ms
20240701-11:56:44 - 從資料庫讀取處方資料,共<68>筆...,38.137ms
20240701-11:56:44 - 共新增<0>筆處方,5.036ms 
20240701-11:56:49 - 下載中藥處方資料,共<68>筆...,12.439ms
20240701-11:56:49 - 從資料庫讀取處方資料,共<68>筆...,46.532ms
20240701-11:56:49 - 共新增<0>筆處方,5.524ms 
20240701-11:56:54 - 下載中藥處方資料,共<68>筆...,75.423ms
20240701-11:56:54 - 從資料庫讀取處方資料,共<68>筆...,37.256ms
20240701-11:56:54 - 共新增<0>筆處方,5.226ms 
20240701-11:56:59 - 下載中藥處方資料,共<68>筆...,13.387ms
20240701-11:56:59 - 從資料庫讀取處方資料,共<68>筆...,34.535ms
20240701-11:57:00 - 共新增<0>筆處方,4.955ms 
20240701-11:57:05 - 下載中藥處方資料,共<68>筆...,19.570ms
20240701-11:57:05 - 從資料庫讀取處方資料,共<68>筆...,120.541ms
20240701-11:57:05 - 共新增<0>筆處方,55.942ms 
20240701-11:57:10 - 下載中藥處方資料,共<68>筆...,104.125ms
20240701-11:57:11 - 從資料庫讀取處方資料,共<68>筆...,212.725ms
20240701-11:57:11 - 共新增<0>筆處方,5.360ms 
20240701-11:57:16 - 下載中藥處方資料,共<68>筆...,26.774ms
20240701-11:57:19 - 中藥醫令Table初始化失敗
